month,flow_z,fr_sign,fr_trend_z,fr_z,mom_z,supply_z,vol_z
2021-03,-0.03174603174603175,,0.06878306878306878,0.019629143656432063,-0.28571428571428575,-0.010582010582010583,-0.16666666666666669
2021-04,-0.06587301587301589,0.18105101905437868,0.003442301913354339,-0.041523043907706225,-0.032539682539682556,-0.022222222222222216,-0.06825396825396826
2021-05,0.015599343185550079,-0.0442198008289617,-0.056416104719333365,-0.07994997066463527,-0.0730706075533662,0.22249589490968805,-0.2914614121510674
2021-06,0.09031198686371102,-0.054771140787521176,0.09301101218817275,0.006977841283140406,-0.00985221674876848,0.15599343185550085,-0.17651888341543515
2021-07,-0.004105090311986865,0.03274965722673025,0.06015395775486052,0.017055503480849384,-0.0016420361247947463,-0.05665024630541873,-0.07963875205254518
2021-08,-0.049155145929339485,0.32991443953692895,-0.028649833373973414,0.027912105064217353,-0.029185867895545323,0.06067588325652842,-0.06067588325652842
2021-09,-0.026360544217687073,0.002295238427462261,-0.09921205746468197,-0.18936087298991064,-0.07482993197278913,0.08503401360544217,-0.02125850340136055
2021-10,-0.05990783410138249,0.301887859144756,-0.05879961427308638,-0.10807079922024658,-0.11682027649769589,-0.0069124423963133575,-0.16067588325652843
2021-11,-0.03047619047619048,-0.055595185708153756,0.019798310209784963,0.031224811519723814,-0.15325396825396825,-0.05547619047619047,-0.06404761904761905
2021-12,-0.10474095796676443,-0.028991754249522328,-0.024096483915444868,-0.0015807743831544807,-0.12776148582600194,0.024291300097751708,-0.017546432062561096
2022-01,-0.06119257086999022,-0.0073625297393578705,-0.03507811860856443,-0.014580252400732416,-0.10107526881720429,0.05962854349951123,-0.11358748778103615
2022-02,-0.10476190476190474,-0.05888096674937097,-0.03645070985863265,-0.02378308044745989,-0.04134199134199133,-0.010281385281385282,-0.0010822510822510714
2022-03,-0.014888337468982635,0.07703868592065946,0.015092088159232452,0.036637841175042596,0.062141084721729876,0.1002771422126261,-0.13839386420031582
2022-04,-0.06410256410256411,-0.04633720413746154,-0.06978242110829408,-0.0034770553475217017,-0.12673992673992673,0.02912087912087912,-0.07142857142857142
2022-05,-0.05308254199152295,0.026467311834568172,0.08198054343337587,0.0581797857849075,-0.033494620306204335,-0.00848391830851248,-0.1465218547427571
2022-06,-0.001044932079414841,0.044262485153731615,0.030677275725326345,0.08875740688475095,-0.036259143155694895,0.09738766980146292,0.04054336468129572
2022-07,-0.05425219941348974,0.1735058290340552,0.116684849558402,0.15578040114610148,-0.04076246334310851,-0.03372434017595309,-0.034897360703812316
2022-08,-0.08054740957966765,0.08471140361596406,0.06830937903304912,0.10324541486161894,-0.1680351906158358,0.011241446725317697,-0.02023460410557185
2022-09,-0.08181818181818183,0.013007751312718994,0.05164232658665546,0.020293735357394416,-0.019696969696969702,0.06272727272727273,-0.04969696969696971
2022-10,-0.005278592375366573,0.03241636558259805,0.04322205511926296,0.03893396262560539,-0.09093164899616514,-0.09754116850891045,-0.10047371982855856
2022-11,0.12331002331002333,-0.028577647974485896,0.03548211953210321,0.04233836457137872,0.016550116550116557,-0.057342657342657345,-0.12051282051282053
2022-12,-0.04465552258214032,-0.04163419209906416,-0.09402419747069209,-0.09173139665220902,0.15715760593203093,-0.0627225535285963,0.03674832982515518
2023-01,-0.06665914730430861,0.01657028515098718,0.029086625771945228,0.010749981959035333,-0.09715768102864879,-0.042318971351229424,0.03160387999097678
2023-02,-0.03781403781403781,0.14726386286681376,0.16204021886551365,0.13861747094284063,-0.07386317386317387,0.06711436711436713,-0.06460946460946462
2023-03,0.0011996336996337083,0.03789034879475232,0.08444419940813117,0.06244528617470687,-0.09558608058608058,-0.012509157509157516,-0.17386446886446888
2023-04,0.04035714285714286,-0.0049965297229600265,0.01019625699504491,0.026437330996105287,-0.03794817927170868,-0.08474789915966387,-0.12650560224089635
